,high,close,middleBand,upperBand,sellingPrice,matchForBuying,matchForSelling
2021-07-09 11:00:00,38942000.0,38893000.0,,,,,
2021-07-09 12:00:00,39008000.0,38822000.0,,,,,
2021-07-09 13:00:00,39199000.0,39024000.0,,,,,
2021-07-09 14:00:00,39250000.0,38877000.0,,,,,
2021-07-09 15:00:00,38930000.0,38778000.0,,,,,
2021-07-09 16:00:00,38967000.0,38842000.0,,,,,
2021-07-09 17:00:00,38842000.0,38809000.0,,,,,
2021-07-09 18:00:00,39177000.0,39000000.0,,,,,
2021-07-09 19:00:00,39060000.0,38914000.0,,,,,
2021-07-09 20:00:00,38932000.0,38806000.0,,,,,
2021-07-09 21:00:00,38987000.0,38952000.0,,,,,
2021-07-09 22:00:00,39500000.0,39354000.0,,,,,
2021-07-09 23:00:00,39612000.0,39509000.0,,,,,
2021-07-10 00:00:00,39612000.0,39486000.0,,,,,
2021-07-10 01:00:00,39606000.0,39429000.0,,,,,
2021-07-10 02:00:00,39500000.0,39409000.0,,,,,
2021-07-10 03:00:00,39416000.0,39306000.0,,,,,
2021-07-10 04:00:00,39447000.0,39395000.0,,,,,
2021-07-10 05:00:00,39510000.0,39508000.0,,,,,
2021-07-10 06:00:00,40001000.0,39866000.0,39148950.0,39798286.0090366,39599294.57899142,,
2021-07-10 07:00:00,40070000.0,40009000.0,39204750.0,39946679.17097041,39746945.77511556,,sell
2021-07-10 08:00:00,40057000.0,39820000.0,39254650.0,40021998.75759949,39821888.76381149,,sell
2021-07-10 09:00:00,40257000.0,40012000.0,39304050.0,40133569.4487108,39932901.601467244,,sell
2021-07-10 10:00:00,40039000.0,39707000.0,39345550.0,40168131.16860731,39967290.512764275,,sell
2021-07-10 11:00:00,39880000.0,39702000.0,39391750.0,40183323.217014536,39982406.60092946,,
2021-07-10 12:00:00,39911000.0,39865000.0,39442900.0,40216913.16458273,40015828.598759815,,
2021-07-10 13:00:00,40000000.0,39733000.0,39489100.0,40212447.161319844,40011384.925513245,,
2021-07-10 14:00:00,39843000.0,39722000.0,39525200.0,40217154.850976184,40016069.0767213,,
2021-07-10 15:00:00,39947000.0,39889000.0,39573950.0,40220489.11836713,40019386.67277529,,
2021-07-10 16:00:00,39915000.0,39874000.0,39627350.0,40175804.77671843,39974925.75283484,,
2021-07-10 17:00:00,40000000.0,39901000.0,39674800.0,40134220.50454894,39933549.40202619,,sell
2021-07-10 18:00:00,39980000.0,39867000.0,39700450.0,40141367.45259175,39940660.61532879,,sell
2021-07-10 19:00:00,39940000.0,39833000.0,39716650.0,40151719.6374992,39950961.0393117,,
2021-07-10 20:00:00,39989000.0,39925000.0,39738600.0,40168943.99948731,39968099.279489875,,sell
2021-07-10 21:00:00,40000000.0,39931000.0,39763700.0,40176201.023922175,39975320.01880256,,sell
2021-07-10 22:00:00,40000000.0,39895000.0,39788000.0,40168543.65542498,39967700.937147856,,sell
2021-07-10 23:00:00,39989000.0,39910000.0,39818200.0,40126739.24087203,39926105.544667676,,sell
2021-07-11 00:00:00,39993000.0,39967000.0,39846800.0,40089099.162628606,39888653.66681546,,sell
2021-07-11 01:00:00,40302000.0,40125000.0,39877650.0,40094052.4272653,39893582.165128976,,sell
2021-07-11 02:00:00,40130000.0,39577000.0,39863200.0,40118056.492126346,39917466.209665716,,sell
2021-07-11 03:00:00,39677000.0,39622000.0,39843850.0,40110585.64678002,39910032.71854612,,
2021-07-11 04:00:00,39745000.0,39590000.0,39832350.0,40122242.3756736,39921631.16379523,,
2021-07-11 05:00:00,39630000.0,39532000.0,39808350.0,40114633.167913884,39914060.002074316,,
2021-07-11 06:00:00,39645000.0,39645000.0,39805250.0,40117057.54860718,39916472.26086414,,
2021-07-11 07:00:00,39850000.0,39837000.0,39812000.0,40120220.70014845,39919619.59664771,buy,
2021-07-11 08:00:00,39849000.0,39626000.0,39800050.0,40117997.67858216,39917407.69018925,,
2021-07-11 09:00:00,39930000.0,39919000.0,39809350.0,40129910.21685726,39929260.665772974,,sell
2021-07-11 10:00:00,39920000.0,39764000.0,39811450.0,40130145.68061413,39929494.95221106,,
2021-07-11 11:00:00,39839000.0,39637000.0,39798850.0,40124486.72041741,39923864.28681532,,
2021-07-11 12:00:00,39780000.0,39450000.0,39777650.0,40136228.054337725,39935546.91406604,,
2021-07-11 13:00:00,39568000.0,39503000.0,39757750.0,40131364.986175254,39930708.16124438,,
2021-07-11 14:00:00,39657000.0,39602000.0,39744500.0,40120589.29510787,39919986.34863233,,
2021-07-11 15:00:00,39641000.0,39459000.0,39725800.0,40120111.979075074,39919511.4191797,,
2021-07-11 16:00:00,39600000.0,39514000.0,39705250.0,40098688.753342345,39898195.30957563,,
2021-07-11 17:00:00,39836000.0,39726000.0,39695000.0,40074095.32199421,39873724.84538424,buy,
2021-07-11 18:00:00,39865000.0,39744000.0,39687450.0,40055631.57705704,39855353.41917176,,
2021-07-11 19:00:00,39852000.0,39773000.0,39680600.0,40036231.624903604,39836050.46677908,,
2021-07-11 20:00:00,39849000.0,39795000.0,39672000.0,40006139.58633765,39806108.88840596,,sell
2021-07-11 21:00:00,39850000.0,39733000.0,39652400.0,39912425.42385819,39712863.2967389,,sell
