,high,close,middleBand,upperBand,sellingPrice,matchForBuying,matchForSelling,,,,
2021-06-14 13:00,45680000,45543000,,,,,,,,,
2021-06-14 17:00,45700000,45204000,,,,,,,,,
2021-06-14 21:00,47401000,47014000,,,,,,,,,
2021-06-15 1:00,47070000,45938000,,,,,,,,,
2021-06-15 5:00,46631000,46501000,,,,,,,,,
2021-06-15 9:00,46904000,46346000,,,,,,,,,
2021-06-15 13:00,46557000,46382000,,,,,,,,,
2021-06-15 17:00,46403000,45877000,,,,,,,,,
2021-06-15 21:00,46600000,46288000,,,,,,,,,
2021-06-16 1:00,47500000,46199000,,,,,,,,,
2021-06-16 5:00,46594000,46389000,,,,,,,,,
2021-06-16 9:00,46500000,46107000,,,,,,,,,
2021-06-16 13:00,46543000,46180000,,,,,,,,,
2021-06-16 17:00,46260000,45170000,,,,,,,,,
2021-06-16 21:00,45684000,44995000,,,,,,,,,
2021-06-17 1:00,46200000,45494000,,,,,,,,,
2021-06-17 5:00,46025000,45295000,,,,,,,,,
2021-06-17 9:00,45661000,45400000,,,,,,,,,
2021-06-17 13:00,45828000,45634000,,,,,,,,,
2021-06-17 17:00,46048000,45776000,45886600,46959021.44,46601547.63,,,,,,
2021-06-17 21:00,45786000,45650000,45891950,46958203.94,46602785.96,,,,,,
2021-06-18 1:00,45741000,44647000,45864100,47030414.56,46641643.04,,,,,,
2021-06-18 5:00,45049000,44854000,45756100,46873062.78,46500741.85,,,,,,
2021-06-18 9:00,44945000,44347000,45676550,46954050.76,46528217.18,,,,,,
2021-06-18 13:00,44500000,44070000,45555000,46958592.08,46490728.06,,,,,,
2021-06-18 17:00,44449000,44214000,45448400,46921182.17,46430254.78,,,,,,
2021-06-18 21:00,44358000,43308000,45294700,46983074.75,46420283.17,,,,,,
2021-06-19 1:00,43539000,42341000,45117900,47235520.3,46529646.87,,,,,,
2021-06-19 5:00,42800000,42599000,44933450,47254782.96,46481005.31,,,,,,
2021-06-19 9:00,43000000,41622000,44704600,47376576.39,46485917.6,,,,,,
2021-06-19 13:00,42130000,41998000,44485050,47292441.03,46356644.02,,,,,,
2021-06-19 17:00,42241000,42177000,44288550,47167182.31,46207638.21,,,,,,
2021-06-19 21:00,42726000,42428000,44100950,46949446.44,45999947.63,,,,,,
2021-06-20 1:00,42501000,42366000,43960750,46863207.75,45895721.83,,,,,,
2021-06-20 5:00,42662000,42088000,43815400,46790037.59,45798491.73,,,,,,
2021-06-20 9:00,42443000,42018000,43641600,46609464.62,45620176.41,,,,,,
2021-06-20 13:00,42337000,42139000,43483800,46416917.8,45439211.87,,,,,,
2021-06-20 17:00,42166000,40479000,43237750,46316071.27,45289964.18,,,,,,
2021-06-20 21:00,40980000,40838000,42997950,46037271.22,45024164.15,,,,,,
2021-06-21 1:00,41869000,41739000,42796100,45584441.28,44654994.19,,,,,,
2021-06-21 5:00,42342000,41842000,42605700,45075349.12,44252132.75,,,,,,
2021-06-21 9:00,42048000,40787000,42412700,44812999.38,44012899.58,,,,,,
2021-06-21 13:00,40842000,39069000,42123450,44674565.3,43824193.53,,,,,,
2021-06-21 17:00,39485000,38530000,41832600,44630747.24,43698031.49,,,,,,
2021-06-21 21:00,39281000,38848000,41571500,44463563.44,43499542.29,,,,,,
2021-06-22 1:00,39178000,38599000,41290750,44192861.24,43225490.82,,,,,,
2021-06-22 5:00,38850000,37393000,40995000,44219233.31,43144488.87,,,,,,
2021-06-22 9:00,39068000,38781000,40817000,44120455.35,43019303.57,,,,,,
2021-06-22 13:00,38897000,38169000,40595500,43988713.57,42857642.38,,,,,,
